Node	CRUD	DataFlowValue
specialinvoke $r27.<java.io.File: void <init>(java.io.File,java.lang.String)>($r28, $r32)	R	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r27, $r28, $r29, $r30, $r31, $r32]
virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void check(java.lang.String)>(r4)	R	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r27, $r28, $r29, $r30, $r31, $r32, r33, $r34, $r35, r9, $r36, $r37, $r38, $r39, $r40, $r41, r10, $z3, $z5, $z7]
if $z8 != 0 goto virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void check(java.lang.String)>(r4)	R	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r27, $r28, $r29, $r30, $r31, $r32, r33, $r34, $r35, r9, $r36, $r37, $r38, $r39, $r40, $r41, r10, $z3, $z5, $z7, $z8]
$z6 = virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: boolean undeployDir(java.io.File)>(r9)	U	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r27, $r28, $r29, $r30, $r31, $r32, r33, $r34, $r35, r9, $r36, $r37, $r38, $r39, $r40, $r41, r10, $z3, $z5]
$r28 = r0.<org.apache.catalina.manager.ManagerServlet: java.io.File deployed>	U	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r27]
$r20 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.noContext", $r18)	U	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $r18, $r19]
goto [?= virtualinvoke r0.<org.apache.catalina.manager.ManagerServlet: void removeServiced(java.lang.String)>(r4)]	R	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r27, $r28, $r29, $r30, $r31, $r32, r33, $r34, $r35, r9, $r36, $r37, $r38, $r39, $r40, $r41, r10, $z3, $z5, $z7]
$r45 = virtualinvoke r3.<org.apache.tomcat.util.res.StringManager: java.lang.String getString(java.lang.String,java.lang.Object[])>("managerServlet.deleteFail", $r44)	U	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $z2, $r27, $r28, $r29, $r30, $r31, $r32, r33, $r34, $r35, r9, $r36, $r37, $r38, $r39, $r40, $r41, r10, $z3, $z5, $z6, $r44]
virtualinvoke r1.<java.io.PrintWriter: void println(java.lang.String)>($r23)	R	[r0, r1, r2, r3, $i0, $z0, r4, r5, r6, $r16, $r17, r7, $z1, $r21, $r22, $r23]
$r15 = virtualinvoke $r14.<java.lang.StringBuilder: java.lang.String toString()>()	U	[r0, r1, r2, r3, $i0, $r12, $r13, $r14]
