start	end	CRUD_Test
$r75 = virtualinvoke $r73.<java.lang.StringBuilder: java.lang.StringBuilder append(long)>($l14)	$r76 = virtualinvoke $r75.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\'")	1
$r76 = virtualinvoke $r75.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\'")	$r77 = virtualinvoke $r76.<java.lang.StringBuilder: java.lang.String toString()>()	1
$r77 = virtualinvoke $r76.<java.lang.StringBuilder: java.lang.String toString()>()	virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>($r77)	1
virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>($r77)	$r78 = new java.lang.StringBuilder	0
$r78 = new java.lang.StringBuilder	specialinvoke $r78.<java.lang.StringBuilder: void <init>(java.lang.String)>(" total=\'")	1
specialinvoke $r78.<java.lang.StringBuilder: void <init>(java.lang.String)>(" total=\'")	$r79 = staticinvoke <java.lang.Runtime: java.lang.Runtime getRuntime()>()	0
$r79 = staticinvoke <java.lang.Runtime: java.lang.Runtime getRuntime()>()	$l15 = virtualinvoke $r79.<java.lang.Runtime: long totalMemory()>()	1
$l15 = virtualinvoke $r79.<java.lang.Runtime: long totalMemory()>()	$r80 = virtualinvoke $r78.<java.lang.StringBuilder: java.lang.StringBuilder append(long)>($l15)	1
$r80 = virtualinvoke $r78.<java.lang.StringBuilder: java.lang.StringBuilder append(long)>($l15)	$r81 = virtualinvoke $r80.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\'")	1
$r81 = virtualinvoke $r80.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\'")	$r82 = virtualinvoke $r81.<java.lang.StringBuilder: java.lang.String toString()>()	1
$r82 = virtualinvoke $r81.<java.lang.StringBuilder: java.lang.String toString()>()	virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>($r82)	1
virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>($r82)	$r83 = new java.lang.StringBuilder	0
$r83 = new java.lang.StringBuilder	specialinvoke $r83.<java.lang.StringBuilder: void <init>(java.lang.String)>(" max=\'")	1
specialinvoke $r83.<java.lang.StringBuilder: void <init>(java.lang.String)>(" max=\'")	$r84 = staticinvoke <java.lang.Runtime: java.lang.Runtime getRuntime()>()	0
$r84 = staticinvoke <java.lang.Runtime: java.lang.Runtime getRuntime()>()	$l16 = virtualinvoke $r84.<java.lang.Runtime: long maxMemory()>()	1
$l16 = virtualinvoke $r84.<java.lang.Runtime: long maxMemory()>()	$r85 = virtualinvoke $r83.<java.lang.StringBuilder: java.lang.StringBuilder append(long)>($l16)	1
$r85 = virtualinvoke $r83.<java.lang.StringBuilder: java.lang.StringBuilder append(long)>($l16)	$r86 = virtualinvoke $r85.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\'/>")	1
$r86 = virtualinvoke $r85.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\'/>")	$r87 = virtualinvoke $r86.<java.lang.StringBuilder: java.lang.String toString()>()	1
$r87 = virtualinvoke $r86.<java.lang.StringBuilder: java.lang.String toString()>()	virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>($r87)	1
virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>($r87)	$r88 = interfaceinvoke r3.<java.util.SortedMap: java.util.Collection values()>()	0
$r88 = interfaceinvoke r3.<java.util.SortedMap: java.util.Collection values()>()	r89 = interfaceinvoke $r88.<java.util.Collection: java.util.Iterator iterator()>()	1
r89 = interfaceinvoke $r88.<java.util.Collection: java.util.Iterator iterator()>()	goto [?= $z2 = interfaceinvoke r89.<java.util.Iterator: boolean hasNext()>()]	1
goto [?= $z2 = interfaceinvoke r89.<java.util.Iterator: boolean hasNext()>()]	$z2 = interfaceinvoke r89.<java.util.Iterator: boolean hasNext()>()	0
$r90 = interfaceinvoke r89.<java.util.Iterator: java.lang.Object next()>()	r91 = (java.lang.management.MemoryPoolMXBean) $r90	1
r91 = (java.lang.management.MemoryPoolMXBean) $r90	r92 = interfaceinvoke r91.<java.lang.management.MemoryPoolMXBean: java.lang.management.MemoryUsage getUsage()>()	1
r92 = interfaceinvoke r91.<java.lang.management.MemoryPoolMXBean: java.lang.management.MemoryUsage getUsage()>()	virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>("<memorypool")	1
virtualinvoke r0.<java.io.PrintWriter: void write(java.lang.String)>("<memorypool")	$r93 = new java.lang.StringBuilder	0
$r93 = new java.lang.StringBuilder	specialinvoke $r93.<java.lang.StringBuilder: void <init>(java.lang.String)>(" name=\'")	1
specialinvoke $r93.<java.lang.StringBuilder: void <init>(java.lang.String)>(" name=\'")	$r94 = interfaceinvoke r91.<java.lang.management.MemoryPoolMXBean: java.lang.String getName()>()	0
$r94 = interfaceinvoke r91.<java.lang.management.MemoryPoolMXBean: java.lang.String getName()>()	$r95 = staticinvoke <org.apache.catalina.manager.StatusTransformer: java.lang.String filterXml(java.lang.String)>($r94)	1
$r95 = staticinvoke <org.apache.catalina.manager.StatusTransformer: java.lang.String filterXml(java.lang.String)>($r94)	$r96 = virtualinvoke $r93.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r95)	1
$r96 = virtualinvoke $r93.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>($r95)	$r97 = virtualinvoke $r96.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\'")	1
$r97 = virtualinvoke $r96.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("\'")	$r98 = virtualinvoke $r97.<java.lang.StringBuilder: java.lang.String toString()>()	1
