start	end	CRUD_Test
r87 = newarray (java.lang.Object)[8]	$r88 = staticinvoke <org.apache.catalina.util.ServerInfo: java.lang.String getServerInfo()>()	1
$r88 = staticinvoke <org.apache.catalina.util.ServerInfo: java.lang.String getServerInfo()>()	r87[0] = $r88	1
r87[0] = $r88	$r89 = staticinvoke <java.lang.System: java.lang.String getProperty(java.lang.String)>("java.runtime.version")	1
$r89 = staticinvoke <java.lang.System: java.lang.String getProperty(java.lang.String)>("java.runtime.version")	r87[1] = $r89	1
r87[1] = $r89	$r90 = staticinvoke <java.lang.System: java.lang.String getProperty(java.lang.String)>("java.vm.vendor")	1
$r90 = staticinvoke <java.lang.System: java.lang.String getProperty(java.lang.String)>("java.vm.vendor")	r87[2] = $r90	1
r87[2] = $r90	$r91 = staticinvoke <java.lang.System: java.lang.String getProperty(java.lang.String)>("os.name")	1
$r91 = staticinvoke <java.lang.System: java.lang.String getProperty(java.lang.String)>("os.name")	r87[3] = $r91	1
r87[3] = $r91	$r92 = staticinvoke <java.lang.System: java.lang.String getProperty(java.lang.String)>("os.version")	1
$r92 = staticinvoke <java.lang.System: java.lang.String getProperty(java.lang.String)>("os.version")	r87[4] = $r92	1
r87[4] = $r92	$r93 = staticinvoke <java.lang.System: java.lang.String getProperty(java.lang.String)>("os.arch")	1
$r93 = staticinvoke <java.lang.System: java.lang.String getProperty(java.lang.String)>("os.arch")	r87[5] = $r93	1
r87[5] = $r93	r5 = staticinvoke <java.net.InetAddress: java.net.InetAddress getLocalHost()>()	1
r87[5] = $r93	$r96 := @caughtexception	1
r5 = staticinvoke <java.net.InetAddress: java.net.InetAddress getLocalHost()>()	$r94 = virtualinvoke r5.<java.net.InetAddress: java.lang.String getHostName()>()	1
r5 = staticinvoke <java.net.InetAddress: java.net.InetAddress getLocalHost()>()	$r96 := @caughtexception	1
$r94 = virtualinvoke r5.<java.net.InetAddress: java.lang.String getHostName()>()	r87[6] = $r94	1
$r94 = virtualinvoke r5.<java.net.InetAddress: java.lang.String getHostName()>()	$r96 := @caughtexception	1
r87[6] = $r94	$r95 = virtualinvoke r5.<java.net.InetAddress: java.lang.String getHostAddress()>()	1
r87[6] = $r94	$r96 := @caughtexception	1
$r95 = virtualinvoke r5.<java.net.InetAddress: java.lang.String getHostAddress()>()	r87[7] = $r95	1
$r95 = virtualinvoke r5.<java.net.InetAddress: java.lang.String getHostAddress()>()	$r96 := @caughtexception	1
r87[7] = $r95	goto [?= staticinvoke <org.apache.catalina.manager.StatusTransformer: void writeServerInfo(java.io.PrintWriter,java.lang.Object[],int)>(r3, r87, b0)]	1
